icd_code,icd_version,long_title
0090,9,"Infectious colitis, enteritis, and gastroenteritis"
01160,9,"Tuberculous pneumonia [any form], unspecified"
01186,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01200,9,"Tuberculous pleurisy, unspecified"
01236,9,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01525,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01631,9,"Tuberculosis of other urinary organs, bacteriological or histological examination not done"
01641,9,"Tuberculosis of epididymis, bacteriological or histological examination not done"
01721,9,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
01725,9,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01730,9,"Tuberculosis of eye, unspecified"
01790,9,"Tuberculosis of other specified organs, unspecified"
01886,9,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
04149,9,Other and unspecified Escherichia coli [E. coli]
05600,9,Rubella with unspecified neurological complication
0701,9,Viral hepatitis A without mention of hepatic coma
07022,9,Chronic viral hepatitis B with hepatic coma without hepatitis delta
09152,9,Syphilitic iridocyclitis (secondary)
0919,9,Unspecified secondary syphilis
0957,9,"Syphilis of synovium, tendon, and bursa"
0993,9,Reiter's disease
1033,9,Mixed lesions of pinta
11505,9,"Infection by Histoplasma capsulatum, pneumonia"
1221,9,Echinococcus granulosus infection of lung
13103,9,Trichomonal prostatitis
1410,9,Malignant neoplasm of base of tongue
1503,9,Malignant neoplasm of upper third of esophagus
1514,9,Malignant neoplasm of body of stomach
1601,9,"Malignant neoplasm of auditory tube, middle ear, and mastoid air cells"
1710,9,"Malignant neoplasm of connective and other soft tissue of head, face, and neck"
1714,9,Malignant neoplasm of connective and other soft tissue of thorax
17360,9,"Unspecified malignant neoplasm of skin of upper limb, including shoulder"
1737,9,"Other malignant neoplasm of skin of lower limb, including hip"
1917,9,Malignant neoplasm of brain stem
1961,9,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
1992,9,Malignant neoplasm associated with transplant organ
20086,9,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes"
20223,9,"Sezary's disease, intra-abdominal lymph nodes"
20240,9,"Leukemic reticuloendotheliosis, unspecified site, extranodal and solid organ sites"
