icd_code,icd_version,long_title
0039,9,Other computer assisted surgery
0048,9,Insertion of four or more vascular stents
0074,9,"Hip bearing surface, metal-on-polyethylene"
0077,9,"Hip bearing surface, ceramic-on-polyethylene"
0126,9,Insertion of catheter(s) into cranial cavity or tissue
0701,9,Unilateral exploration of adrenal field
105,9,Lysis of adhesions of conjunctiva and eyelid
1179,9,Other reconstructive and refractive surgery on cornea
1300,9,"Removal of foreign body from lens, not otherwise specified"
1449,9,Other scleral buckling
2031,9,Electrocochleography
247,9,Application of orthodontic appliance
2691,9,Probing of salivary duct
287,9,Control of hemorrhage after tonsillectomy and adenoidectomy
3329,9,Other diagnostic procedures on lung or bronchus
341,9,Incision of mediastinum
3479,9,Other repair of chest wall
3596,9,Percutaneous balloon valvuloplasty
3733,9,"Excision or destruction of other lesion or tissue of heart, open approach"
3825,9,Intravascular imaging of non-coronary vessel(s) by optical coherence tomography [OCT]
3833,9,"Resection of vessel with anastomosis, upper limb vessels"
3953,9,Repair of arteriovenous fistula
400,9,Incision of lymphatic structures
4138,9,Other diagnostic procedures on bone marrow
4198,9,Other operations on bone marrow
4491,9,Ligation of gastric varices
4515,9,Open biopsy of small intestine
4697,9,Transplant of intestine
4799,9,Other operations on appendix
4833,9,Destruction of rectal lesion or tissue by laser
4842,9,Laparoscopic pull-through resection of rectum
5341,9,Other and open repair of umbilical hernia with graft or prosthesis
5511,9,Pyelotomy
5593,9,Replacement of nephrostomy tube
5640,9,"Ureterectomy, not otherwise specified"
5719,9,Other cystotomy
5796,9,Implantation of electronic bladder stimulator
5899,9,Other operations on urethra and periurethral tissue
605,9,Radical prostatectomy
6353,9,Transplantation of spermatic cord
6564,9,Laparoscopic removal of remaining ovary and tube
6574,9,Laparoscopic simple suture of ovary
6581,9,Laparoscopic lysis of adhesions of ovary and fallopian tube
6695,9,Insufflation of therapeutic agent into fallopian tubes
6825,9,Uterine artery embolization [UAE] without coils
7673,9,Closed reduction of maxillary fracture
7705,9,"Sequestrectomy, femur"
7707,9,"Sequestrectomy, tibia and fibula"
7739,9,"Other division of bone, other bones"
7751,9,Bunionectomy with soft tissue correction and osteotomy of the first metatarsal
7778,9,"Excision of bone for graft, tarsals and metatarsals"
7833,9,"Limb lengthening procedures, radius and ulna"
7916,9,"Closed reduction of fracture with internal fixation, tibia and fibula"
7993,9,"Unspecified operation on bone injury, carpals and metacarpals"
8021,9,"Arthroscopy, shoulder"
8194,9,Suture of capsule or ligament of ankle and foot
8201,9,Exploration of tendon sheath of hand
8364,9,Other suture of tendon
8604,9,Other incision with drainage of skin and subcutaneous tissue
8759,9,Other biliary tract x-ray
8844,9,Arteriography of other intrathoracic vessels
8853,9,Angiocardiography of left heart structures
9029,9,"Microscopic examination of specimen from eye, other microscopic examination"
9064,9,"Microscopic examination of specimen from spleen and of bone marrow, parasitology"
9082,9,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture"
9362,9,"Osteopathic manipulative treatment using high-velocity, low-amplitude forces"
9401,9,Administration of intelligence test
9436,9,Play psychotherapy
9672,9,Continuous invasive mechanical ventilation for 96 consecutive hours or more
9734,9,Removal of dental packing
9759,9,Removal of other device from digestive system
9814,9,Removal of intraluminal foreign body from larynx without incision
9903,9,Other transfusion of whole blood
9904,9,Transfusion of packed cells
9945,9,Vaccination against measles
0059,9,Intravascular pressure measurement of coronary arteries
0070,9,"Revision of hip replacement, both acetabular and femoral components"
